Produktname,Beschreibung,Verkäufer-ID,Mindestgebot (€)
CD-Player,Hochwertiger CD-Player mit exzellentem Klang.,mbidler,15
Computer,Leistungsstarker Computer für alle Ihre Bedürfnisse.,ljusseit,14
Tasse,Keramiktasse mit schönem Design.,jschulza,1
Monitor,"24-Zoll-Full-HD-Monitor, ideal für Arbeit und Gaming.",dsuess1,18
Smartphone,Modernes Smartphone mit großem Display und langer Akkulaufzeit.,nbetker,3
Tablet,Tablet mit hoher Auflösung und schnellem Prozessor.,acescott,20
Drucker,Multifunktionsdrucker für Zuhause oder Büro.,jfoerst7,1
Kopfhörer,Geräuschunterdrückende Kopfhörer für ein intensives Musikerlebnis.,nmorczin,15
Mikrowelle,Kompakte Mikrowelle mit verschiedenen Leistungsstufen.,yhani,17
Kühlschrank,Geräumiger Kühlschrank mit Gefrierfach.,mkaestn1,14
Toaster,Toaster mit einstellbarem Bräunungsgrad.,tschulle,20
Waschmaschine,Effiziente Waschmaschine mit verschiedenen Programmen.,svomstei,8
Laptop,Leichtes und leistungsstarkes Laptop.,ddick2,18
Staubsauger,Leistungsstarker Staubsauger mit HEPA-Filter.,fgalgano,19
Fernseher,4K-Fernseher mit brillanter Bildqualität.,fhenkenj,2
Blender,Starker Mixer für Smoothies und mehr.,mlauria,7
Lichtschalter,Energiesparender Lichtschalter für Ihr Zuhause.,mgueler2,4
Heizlüfter,Heizlüfter für schnelle Wärme an kalten Tagen.,hihor,8
Kaffeemaschine,Kaffeemaschine für aromatischen Kaffeegenuss.,akurmemo,5
Bügeleisen,Dampfbügeleisen für faltenfreie Kleidung.,soezmen1,1
Ventilator,Leiser Ventilator für heiße Sommertage.,ebuzkir,6
Tastatur,Mechanische Tastatur mit RGB-Beleuchtung.,lhesse4,16
Maus,Ergonomische Maus für präzises Arbeiten.,anebling,3
Router,Schneller Router für stabile Internetverbindungen.,breich,2
Modem,Kompaktes Modem für DSL- und Kabelverbindungen.,eeisele,2
Schreibtischlampe,Stylische Schreibtischlampe mit LED-Licht.,hkoop,10
Sessel,Komfortabler Sessel für entspannte Abende.,skuske1,5
Sofa,Großes Sofa mit viel Platz zum Entspannen.,tmarienh,7
Bett,Bequemes Bett mit hochwertiger Matratze.,jmenn,9
Schrank,Geräumiger Schrank für Ihre Kleidung.,orichte1,14
Regal,Robustes Regal für Bücher und mehr.,lruedena,12
Bücher,Interessante Bücher aus verschiedenen Genres.,ksebald,16
DVD,Spannende DVD-Filme für gemütliche Abende.,yhashemi,6
Blu-Ray Player,Hochwertiger Blu-Ray Player mit 4K-Unterstützung.,skusdoga,5
Spielkonsole,Spielkonsole für Gaming-Enthusiasten.,ssrioui,2
Smartwatch,Moderne Smartwatch mit vielen Funktionen.,vtran2,20
Fitness Tracker,Fitness Tracker zur Überwachung Ihrer Aktivitäten.,dschne13,16
Kamera,Professionelle Kamera für tolle Fotos.,fschuh2,20
Stativ,Stabiles Stativ für verwacklungsfreie Aufnahmen.,lueberbe,6
Objektiv,Hochwertiges Objektiv für verschiedene Fotografie-Bereiche.,dzajcev,19
Rucksack,Praktischer Rucksack für Alltag und Reisen.,cacar2,15
Handtasche,Elegante Handtasche aus echtem Leder.,kelali,15
Portemonnaie,Stilvolles Portemonnaie mit vielen Fächern.,mhasan5,7
Sonnenbrille,Modische Sonnenbrille mit UV-Schutz.,nasemota,17
Armbanduhr,Edle Armbanduhr für jeden Anlass.,tdemuth,15
Gitarre,Akustische Gitarre für Anfänger und Profis.,sdriouic,6
Klavier,Elektronisches Klavier mit realistischen Klängen.,jwendt3,2
Schlagzeug,Schlagzeug für rockige Musik.,kammar,9
Mikrofon,Kondensatormikrofon für klare Aufnahmen.,thorocho,15
Lautsprecher,Kraftvolle Lautsprecher für Heim und Party.,fmecklen,3
Verstärker,Verstärker für Musiker und Musikliebhaber.,emuth,13
Kabel,Verschiedene Kabel für Audio- und Videoverbindungen.,mbidler,17
Ladegerät,Schnelles Ladegerät für Smartphones und Tablets.,ljusseit,6
USB-Stick,Großer USB-Stick für Ihre Daten.,jschulza,13
Festplatte,Externe Festplatte mit viel Speicherplatz.,dsuess1,5
SSD,Schnelle SSD für Ihren Computer.,nbetker,9
Speicherkarte,Hochleistungs-Speicherkarte für Kamera und Handy.,acescott,13
RAM,Zuverlässiger Arbeitsspeicher für Ihren PC.,jfoerst7,5
Mainboard,Modernes Mainboard für aktuelle Prozessoren.,nmorczin,10
Prozessor,Schneller Prozessor für Gaming und Arbeit.,yhani,4
Grafikkarte,Leistungsstarke Grafikkarte für beste Spieleleistung.,mkaestn1,15
Netzteil,Robustes Netzteil für Ihren Computer.,tschulle,3
PC-Gehäuse,Stilvolles PC-Gehäuse mit guter Belüftung.,svomstei,8
Laptop-Tasche,Praktische Laptop-Tasche mit viel Platz.,ddick2,13
Schneeschaufel,Robuste Schneeschaufel für den Winter.,fgalgano,20
Rasenmäher,Effizienter Rasenmäher für Ihren Garten.,fhenkenj,16
Gartenschlauch,Langer Gartenschlauch mit guter Reichweite.,mlauria,12
Grill,Stabiler Grill für die Grillsaison.,mgueler2,19
Kohlegrill,Klassischer Kohlegrill für authentischen Geschmack.,hihor,2
Gasgrill,Bequemer Gasgrill für schnelles Grillen.,akurmemo,3
Feuerschale,Dekorative Feuerschale für den Garten.,soezmen1,12
Gartenstuhl,Komfortabler Gartenstuhl für draußen.,ebuzkir,12
Gartentisch,Großer Gartentisch für Familienfeiern.,lhesse4,8
Sonnenschirm,Sonnenschirm für Schatten im Sommer.,anebling,14
Liegestuhl,Bequemer Liegestuhl zum Entspannen.,breich,2
Hängematte,Robuste Hängematte für den Garten.,eeisele,10
Gartenwerkzeug,Praktisches Gartenwerkzeug-Set.,hkoop,10
Schraubendreher,Verschiedene Schraubendreher für alle Zwecke.,skuske1,12
Bohrmaschine,Leistungsstarke Bohrmaschine für Heimwerker.,tmarienh,6
Akkuschrauber,Kompakter Akkuschrauber für schnelle Arbeiten.,jmenn,4
Hobelmaschine,Effiziente Hobelmaschine für präzise Arbeiten.,orichte1,2
Schleifmaschine,Leistungsstarke Schleifmaschine.,lruedena,7
Kettensäge,Kraftvolle Kettensäge für die Holzarbeit.,ksebald,2
Laubsauger,Effizienter Laubsauger für den Herbst.,yhashemi,5
Laubbläser,Kraftvoller Laubbläser für Ihren Garten.,skusdoga,10
Heckenschere,Elektrische Heckenschere für saubere Schnitte.,ssrioui,20
Rasentrimmer,Praktischer Rasentrimmer für saubere Kanten.,vtran2,18
Hochdruckreiniger,Hochdruckreiniger für verschiedenste Reinigungsarbeiten.,dschne13,16
Fahrrad,Robustes Fahrrad für Alltag und Freizeit.,fschuh2,13
Fahrradhelm,Sicherer Fahrradhelm für Ihre Sicherheit.,lueberbe,15
Fahrradschloss,Starkes Fahrradschloss zum Schutz Ihres Rads.,dzajcev,9
Fahrradpumpe,Effiziente Fahrradpumpe für unterwegs.,cacar2,10
Skateboard,Cooles Skateboard für Tricks und Fahrten.,kelali,7
Inlineskates,Bequeme Inlineskates für sportliche Aktivitäten.,mhasan5,3
Rollschuhe,Klassische Rollschuhe für Spaß und Bewegung.,nasemota,13
Tretroller,Praktischer Tretroller für Kinder und Erwachsene.,tdemuth,19
Kanu,Stabiles Kanu für Flussfahrten.,sdriouic,10
Kajak,Leichtes Kajak für Sport und Freizeit.,jwendt3,1
Schwimmweste,Sichere Schwimmweste für Wassersport.,kammar,9
Smart Türschloss,"Dieses intelligente Türschloss bietet Ihnen eine sichere und bequeme Möglichkeit, Ihre Tür zu öffnen.",thorocho,10
Elektro-Scooter,Mit diesem Elektro-Scooter kommen Sie schnell und umweltfreundlich an Ihr Ziel.,fmecklen,17
Gaming Stuhl,Der Gaming Stuhl bietet maximalen Komfort für lange Gaming-Sessions.,emuth,20
3D Drucker,"Dieser 3D Drucker ermöglicht Ihnen, komplexe Objekte in hoher Präzision zu drucken.",mbidler,11
Drohne,Diese Drohne mit HD-Kamera ermöglicht beeindruckende Luftaufnahmen und Videos.,ljusseit,15
Action-Kamera,Die Action-Kamera ist ideal für die Aufnahme von Abenteuern und sportlichen Aktivitäten.,jschulza,2
E-Book Reader,Der E-Book Reader bietet eine riesige Bibliothek an Büchern in einem kompakten Gerät.,dsuess1,7
Soundbar,Diese Soundbar verbessert Ihr Heimkino-Erlebnis mit kristallklarem Sound.,nbetker,6
Smart Thermostat,"Das Smart Thermostat hilft Ihnen, Ihre Heizkosten zu senken und die Temperatur zu steuern.",acescott,8
Kabellose Ladestation,Die kabellose Ladestation lädt Ihre Geräte schnell und effizient auf.,jfoerst7,2
VR-Headset,Das VR-Headset bietet Ihnen ein immersives Erlebnis in virtuellen Welten.,nmorczin,15
